t,x1,y1,z1,x2,y2,z2,x3,y3,z3
74,26598458.13613792,286399.68596147816,0.0,-286399.68596147816,26598458.13613792,0.0,0.0,-286399.68596147816,26598458.13613792
75,26598416.182990443,290269.7993806061,0.0,-290269.7993806061,26598416.182990443,0.0,0.0,-290269.7993806061,26598416.182990443
76,26598373.666735973,294139.90665452025,0.0,-294139.90665452025,26598373.666735973,0.0,0.0,-294139.90665452025,26598373.666735973
77,26598330.58737541,298010.00770128774,0.0,-298010.00770128774,26598330.58737541,0.0,0.0,-298010.00770128774,26598330.58737541
78,26598286.944909666,301880.1024389758,0.0,-301880.1024389758,26598286.944909666,0.0,0.0,-301880.1024389758,26598286.944909666
79,26598242.73933966,305750.1907856519,0.0,-305750.1907856519,26598242.73933966,0.0,0.0,-305750.1907856519,26598242.73933966
80,26598197.970666334,309620.27265938354,0.0,-309620.27265938354,26598197.970666334,0.0,0.0,-309620.27265938354,26598197.970666334
81,26598152.638890635,313490.34797823837,0.0,-313490.34797823837,26598152.638890635,0.0,0.0,-313490.34797823837,26598152.638890635
82,26598106.74401352,317360.4166602842,0.0,-317360.4166602842,26598106.74401352,0.0,0.0,-317360.4166602842,26598106.74401352
83,26598060.286035966,321230.47862358904,0.0,-321230.47862358904,26598060.286035966,0.0,0.0,-321230.47862358904,26598060.286035966
84,26598013.26495895,325100.53378622094,0.0,-325100.53378622094,26598013.26495895,0.0,0.0,-325100.53378622094,26598013.26495895
85,26597965.680783473,328970.5820662482,0.0,-328970.5820662482,26597965.680783473,0.0,0.0,-328970.5820662482,26597965.680783473
86,26597917.53351054,332840.6233817391,0.0,-332840.6233817391,26597917.53351054,0.0,0.0,-332840.6233817391,26597917.53351054
87,26597868.82314117,336710.6576507622,0.0,-336710.6576507622,26597868.82314117,0.0,0.0,-336710.6576507622,26597868.82314117
88,26597819.549676392,340580.6847913862,0.0,-340580.6847913862,26597819.549676392,0.0,0.0,-340580.6847913862,26597819.549676392
89,26597769.713117253,344450.7047216799,0.0,-344450.7047216799,26597769.713117253,0.0,0.0,-344450.7047216799,26597769.713117253
90,26597719.313464805,348320.71735971235,0.0,-348320.71735971235,26597719.313464805,0.0,0.0,-348320.71735971235,26597719.313464805
91,26597668.35072012,352190.7226235526,0.0,-352190.7226235526,26597668.35072012,0.0,0.0,-352190.7226235526,26597668.35072012
92,26597616.82488427,356060.72043127,0.0,-356060.72043127,26597616.82488427,0.0,0.0,-356060.72043127,26597616.82488427
93,26597564.73595835,359930.710700934,0.0,-359930.710700934,26597564.73595835,0.0,0.0,-359930.710700934,26597564.73595835
94,26597512.08394346,363800.69335061416,0.0,-363800.69335061416,26597512.08394346,0.0,0.0,-363800.69335061416,26597512.08394346
95,26597458.868840717,367670.66829838033,0.0,-367670.66829838033,26597458.868840717,0.0,0.0,-367670.66829838033,26597458.868840717
96,26597405.090651248,371540.6354623024,0.0,-371540.6354623024,26597405.090651248,0.0,0.0,-371540.6354623024,26597405.090651248
97,26597350.749376193,375410.5947604505,0.0,-375410.5947604505,26597350.749376193,0.0,0.0,-375410.5947604505,26597350.749376193
98,26597295.8450167,379280.5461108948,0.0,-379280.5461108948,26597295.8450167,0.0,0.0,-379280.5461108948,26597295.8450167
99,26597240.37757393,383150.4894317059,0.0,-383150.4894317059,26597240.37757393,0.0,0.0,-383150.4894317059,26597240.37757393
100,26597184.347049057,387020.4246409543,0.0,-387020.4246409543,26597184.347049057,0.0,0.0,-387020.4246409543,26597184.347049057
101,26597127.75344327,390890.3516567108,0.0,-390890.3516567108,26597127.75344327,0.0,0.0,-390890.3516567108,26597127.75344327
102,26597070.59675777,394760.2703970463,0.0,-394760.2703970463,26597070.59675777,0.0,0.0,-394760.2703970463,26597070.59675777
103,26597012.87699376,398630.18078003195,0.0,-398630.18078003195,26597012.87699376,0.0,0.0,-398630.18078003195,26597012.87699376
104,26596954.594152465,402500.0827237391,0.0,-402500.0827237391,26596954.594152465,0.0,0.0,-402500.0827237391,26596954.594152465
105,26596895.74823512,406369.9761462392,0.0,-406369.9761462392,26596895.74823512,0.0,0.0,-406369.9761462392,26596895.74823512
106,26596836.339242972,410239.8609656039,0.0,-410239.8609656039,26596836.339242972,0.0,0.0,-410239.8609656039,26596836.339242972
107,26596776.367177274,414109.73709990503,0.0,-414109.73709990503,26596776.367177274,0.0,0.0,-414109.73709990503,26596776.367177274
108,26596715.8320393,417979.60446721467,0.0,-417979.60446721467,26596715.8320393,0.0,0.0,-417979.60446721467,26596715.8320393
109,26596654.73383033,421849.462985605,0.0,-421849.462985605,26596654.73383033,0.0,0.0,-421849.462985605,26596654.73383033
110,26596593.072551657,425719.3125731484,0.0,-425719.3125731484,26596593.072551657,0.0,0.0,-425719.3125731484,26596593.072551657
111,26596530.848204587,429589.1531479175,0.0,-429589.1531479175,26596530.848204587,0.0,0.0,-429589.1531479175,26596530.848204587
112,26596468.06079044,433458.98462798505,0.0,-433458.98462798505,26596468.06079044,0.0,0.0,-433458.98462798505,26596468.06079044
113,26596404.710310537,437328.8069314241,0.0,-437328.8069314241,26596404.710310537,0.0,0.0,-437328.8069314241,26596404.710310537
114,26596340.79676623,441198.6199763077,0.0,-441198.6199763077,26596340.79676623,0.0,0.0,-441198.6199763077,26596340.79676623
115,26596276.32015886,445068.4236807092,0.0,-445068.4236807092,26596276.32015886,0.0,0.0,-445068.4236807092,26596276.32015886
116,26596211.280489802,448938.21796270227,0.0,-448938.21796270227,26596211.280489802,0.0,0.0,-448938.21796270227,26596211.280489802
117,26596145.67776043,452808.0027403606,0.0,-452808.0027403606,26596145.67776043,0.0,0.0,-452808.0027403606,26596145.67776043
118,26596079.511972133,456677.77793175826,0.0,-456677.77793175826,26596079.511972133,0.0,0.0,-456677.77793175826,26596079.511972133
119,26596012.78312631,460547.5434549693,0.0,-460547.5434549693,26596012.78312631,0.0,0.0,-460547.5434549693,26596012.78312631
120,26595945.491224375,464417.2992280681,0.0,-464417.2992280681,26595945.491224375,0.0,0.0,-464417.2992280681,26595945.491224375
